rank,feature,importance_mean,importance_std
116,S816C,-0.00026325591012279494,0.00035210149080909775
117,S811,-0.0002637657392025853,0.0001915724440232618
118,S490BA,-0.0003397302720929455,0.0002888479758078392
119,S1002C,-0.0003459331925638483,0.00027103873690100926
120,S815AX,-0.0003520228176837022,0.000849046689031966
121,S806AX,-0.00037272754309117435,0.0004200946974623678
122,S816AJ,-0.0004213595725366467,0.000620915861141663
123,S489C,-0.0005344566567391389,0.001081693033699165
124,S810,-0.0005885268630358321,0.0007675764366968804
125,S816AH,-0.0006830151858256158,0.0003029151072106229
126,S1032G,-0.0007404842526542943,0.0006175309829716793
127,S1032M,-0.0007768378984278772,0.0006370942968368527
128,S802F,-0.000798661415427134,0.0008581603837698187
129,S804A,-0.001056656172684763,0.0006680543375870749
130,S1032K,-0.0018003622618850393,0.0006466779608710238
131,S816AE,-0.002013626598349546,0.0007175729025905468
