rank,feature,importance_mean,importance_std
1,PESO15_AMAS,0.0128643118227948,0.004534177990741853
2,QS903D,0.004674764451884232,0.0026078123520699584
3,QS901,0.004171003754324776,0.00265262884854207
4,QS900,0.004164588405070598,0.0019694424701452405
5,QS25N,0.004121904381556137,0.0020716975903555426
6,QS22A,0.0036024451969144536,0.0013928129171215913
7,QS27_A,0.0035110087676440377,0.0010626630410086237
8,QSTOTVISIT,0.0035058609101299727,0.0014399852049892716
9,QS102,0.003156677557182341,0.001690802664698826
10,QS27_B,0.0023121173626542498,0.0014566623751330384
11,QS700F,0.0020049736659119317,0.0013015468492240116
12,QS207C,0.001868027910309807,0.0010014827260658242
13,QS109,0.0017860516428534515,0.0008710283153930809
14,QS700D,0.001781087890284853,0.0008403874715422533
15,QS27_BD,0.0017044223424097726,0.0014682520825137816
16,QS700I,0.0014471286001368562,0.0005647729577792675
17,QS25AA,0.001428364057616438,0.0005942637841671549
18,QS25BB,0.001352704005982086,0.001104382352783653
19,QS216C,0.0010978036280004414,0.0012187305926425979
20,QS406,0.0010899862487768381,0.002017801817070221
21,QS213C,0.0010879044467009713,0.0004643282301231225
22,QHCLUSTER,0.0009632795605273895,0.0017789029736633378
23,QS603,0.0009606950103311807,0.0015490795376729262
24,QS905D,0.0009230384680203318,0.0011887998465183094
25,QS100,0.0008783717758622153,0.0004456144974782131
26,QS505C,0.0008768635315011449,0.0023017726534705963
27,QS700E,0.0008735000757663425,0.0005849062101731494
28,QS206,0.0006297592898648027,0.00022482564926720652
29,QHNUMBER,0.00041304652615217947,0.0007726229597030976
30,QSINTM,0.0003834976824020453,0.0005132108733542863
31,QS27_D,0.0003750855025853076,0.00028775202823175727
32,QS700H,0.00033655092130369845,0.0009212316334232435
33,QS215U,0.00033286882239402793,0.00031585169321599705
34,QS20C,0.00032381227526814273,0.0003670660385728114
35,QS505D,0.00031622856770608575,0.00037984561047631806
36,QS27_BC,0.000300707104609869,0.00029888131631579265
37,QS212T_AE,0.00027602287999621095,0.000521299604292775
38,QS212T_ABG,0.0002529177093379964,0.00012247887383209566
39,QS25A,0.0002521175609211168,0.00047364558400978484
40,QS902,0.00024706883683917416,0.0007594674107110064
41,QS27_E,0.00023079679204219457,0.0005030048694301478
42,QS700C,0.00021964428092153821,0.0005333246927267375
43,QS212T_ABX,0.0002138449751387735,0.0001603708850725461
44,QS212T_X,0.00020105676238713806,0.00021241902003522786
45,QS707,0.00019018040868471104,0.00039754854821706534
46,QS27_ ,0.00017504839835784657,0.00021736666459477418
47,QS212T_C,0.00011465489527975325,8.705591295620514e-05
48,QS710,8.603365721647401e-05,0.00024855760502527104
49,QS208,8.280473971103616e-05,0.00017560023677998376
50,QSNUMERO,6.689382384561515e-05,0.00042432978367549454
51,QS220U,6.305594382822743e-05,0.0004034000886133767
52,QS25C5,6.260276242395038e-05,0.0002939825148200408
53,QS700G,5.8623263217742284e-05,0.000525179324364503
54,QS218C,4.6387365302498945e-05,0.00013597713635447287
55,QS905S,4.156523192272073e-05,0.0011316836600760171
56,QS700A,3.714671323111022e-05,0.0002380972853386492
57,QS403,3.658731743523269e-05,0.00034279626207646185
58,QS505B,1.4558452612164114e-05,0.0003743263911544635
59,QS25C3,1.4360185747756363e-05,6.633212715147654e-05
60,QS23,1.1244563593463634e-05,0.0007150562744102737
61,QSMEF,1.841049454887056e-07,3.369227354968203e-07
62,QS212T_ACEG,0.0,0.0
63,QHHOME,0.0,0.0
64,QS212T_AD,0.0,0.0
65,QS212T_ACX,0.0,0.0
66,QS212T_ACG,0.0,0.0
67,QS212T_ABCG,0.0,0.0
68,QSINTY,0.0,0.0
69,QS212T_ABD,0.0,0.0
70,QS212T_ABEG,0.0,0.0
71,QS212T_ACE,0.0,0.0
72,QS212T_AC,0.0,0.0
73,QS212T_ABF,0.0,0.0
74,QS212T_ABFG,0.0,0.0
75,QS212T_AEF,0.0,0.0
76,QS212T_ABGX,0.0,0.0
77,QS212T_ABE,0.0,0.0
78,QS212T_AX,0.0,0.0
79,QS212T_AEG,0.0,0.0
80,QS212T_AF,0.0,0.0
81,QS212T_GX,0.0,0.0
82,QS212T_G,0.0,0.0
83,QS212T_FG,0.0,0.0
84,QS212T_F,0.0,0.0
85,QS212T_EX,0.0,0.0
86,QS212T_EG,0.0,0.0
87,QS212T_EF,0.0,0.0
88,QS212T_DE,0.0,0.0
89,QS212T_CX,0.0,0.0
90,QS212T_CG,0.0,0.0
91,QS212T_CE,0.0,0.0
92,QS212T_BX,0.0,0.0
93,QS212T_BF,0.0,0.0
94,QS212T_BEG,0.0,0.0
95,QS212T_BE,0.0,0.0
96,QS212T_BD,0.0,0.0
97,QS212T_BCE,0.0,0.0
98,QS212T_BC,0.0,0.0
99,QS212T_A,0.0,0.0
100,QS212T_AGX,0.0,0.0
101,QS212T_AG,0.0,0.0
102,QS212T_ABC,0.0,0.0
103,QS27_CE,0.0,0.0
104,QS212T_ ,0.0,0.0
105,QS25C4,0.0,0.0
106,QS200,0.0,0.0
107,QS500,0.0,0.0
108,QS505A,0.0,0.0
109,QS214U,0.0,0.0
110,QS210,0.0,0.0
111,QS711,0.0,0.0
112,QS207U,0.0,0.0
113,QS26,0.0,0.0
114,QS25AG,0.0,0.0
115,QS24,0.0,0.0
116,QS906,0.0,0.0
117,QS25C1,0.0,0.0
118,QS730,0.0,0.0
119,ID1,0.0,0.0
120,QSSEXO,0.0,0.0
121,QS27_X,0.0,0.0
122,QS908,0.0,0.0
123,QSRESULT,0.0,0.0
124,QSRESINF,0.0,0.0
125,QS220CV,0.0,0.0
126,QS25C6,0.0,0.0
127,QS25C2,-8.922008896424434e-07,3.711580925162098e-05
128,QS703,-1.0196581596029948e-06,4.332714044114333e-07
129,QS213U,-1.2462488617304146e-06,9.625271914459602e-06
130,QS209,-9.198166314668594e-06,0.0004356303681986641
131,QS27_C,-1.5705568041587034e-05,0.00019750461780301647
132,QS214C,-2.434433856044471e-05,0.0009403105787070467
133,QS212T_BG,-3.994369221049047e-05,0.00023155671673967938
134,QS27_BE,-8.770476364459157e-05,0.0005185128163306875
135,QS506,-9.752605439019568e-05,0.00018255153811688269
136,QS212T_B,-0.00011753684577241834,0.00023124912458834175
137,QS709,-0.000187461320258997,0.00028551679323147663
138,QS404,-0.00019627711476387274,0.00013002068331665535
139,QS217U,-0.000207096820790779,0.00013476351640542543
140,QS212T_D,-0.00022780862715769955,0.000111236354862191
141,QS107,-0.0002466368983131092,0.0005858333052222156
142,QS402,-0.00033715280285611846,0.0002998825050381054
143,QS219C,-0.000344722348499249,0.0003679834530083526
144,QS212T_AB,-0.00039476348887361733,0.0008880185402276268
145,QS22M,-0.00042065855755185253,0.0012082964714277033
146,QS700B,-0.00042114714375332725,0.0003071051052437712
147,QSDIA,-0.0004741127203770882,0.0010401628039417119
148,QS212T_E,-0.0005664555124560507,0.000557173066201403
149,QS903S,-0.0006540540617090714,0.0008995596199995565
150,QS907,-0.0009078144052205935,0.0006538315067948134
151,QS219U,-0.0010849587675731001,0.00043240914906421467
152,QS401,-0.0017311600452614372,0.000856955599439865
